token,lem
mechanical,mechanical
plumbing,plumbing
tributaries,tributary
volumes,volume
flooded,flood
span,span
date,date
toga,toga
planted,plant
ornamental,ornamental
ones,one
volunteers,volunteer
tulip,tulip
streetscapes,streetscape
tradition,tradition
row,row
innovations,innovation
entrepreneurship,entrepreneurship
measure,measure
synergies,synergy
offs,off
unusually,unusually
dept,dept
numbers,number
typically,typically
upgrade,upgrade
choose,choose
insulation,insulation
convince,convince
negotiate,negotiate
landlords,landlord
behalf,behalf
tenants,tenant
occupy,occupy
hundreds,hundred
passionate,passionate
sustaining,sustain
launches,launch
prevention,prevention
relationship,relationship
midamerican,midamerican
readily,readily
stronger,strong
ready,ready
placement,placement
transformers,transformer
switchgear,switchgear
alternatively,alternatively
floodproofing,floodproofing
geographical,geographical
coordinates,coordinate
°,°
theme,theme
engagementconducted,engagementconducte
particularly,particularly
unpredictable,unpredictable
cherished,cherish
emitters,emitter
tab,tab
rows,row
toilets,toilet
voucher,vouch
mbta,mbta
exist,exist
member,member
carry,carry
placeworks,placework
remove,remove
biochar,biochar
amend,amend
kilns,kiln
measurement,measurement
effectiveness,effectiveness
verifiable,verifiable
exchange,exchange
subway,subway
mind,mind
kids,kid
seniors,senior
excludes,exclude
northern,northern
subscribing,subscribe
exercised,exercise
communitywide,communitywide
patterns,pattern
impactful,impactful
hard,hard
wealthy,wealthy
programming,programming
messaging,messaging
independent,independent
personal,personal
movement,movement
subsidence,subsidence
represent,represent
voices,voice
eib,eib
lie,lie
situated,situate
ugb,ugb
lies,lie
tiehack,tiehack
campus,campus
horse,horse
extends,extend
lifts,lift
highlands,highland
buttermilk,buttermilk
lift,lift
weekly,weekly
participates,participate
automobile,automobile
littoral,littoral
island,island
walkability,walkability
reinvestment,reinvestment
lays,lay
inland,inland
viaduct,viaduct
renew,renew
failing,fail
mandate,mandate
purchases,purchase
designations,designation
appear,appear
category,category
restricted,restrict
environmentally,environmentally
sensitive,sensitive
left,leave
essentially,essentially
reinforce,reinforce
character,character
unregulated,unregulated
wildlife,wildlife
interfere,interfere
shows,show
wettest,wet
decade,decade
comparing,compare
times,time
fact,fact
frequencies,frequency
contributions,contribution
stratgic,stratgic
ambitous,ambitous
enacted,enact
throw,throw
registration,registration
takes,take
commingled,commingle
items,item
subscription,subscription
attendees,attendee
beverages,beverage
kick,kick
habit,habit
bags,bag
grocery,grocery
stores,store
reusable,reusable
hosting,host
collects,collect
shredding,shredding
internally,internally
art,art
teach,teach
prioritized,prioritize
subcommittee,subcommittee
resident,resident
participated,participate
largely,largely
underserved,underserved
comments,comment
received,receive
comment,comment
registry,registry
ships,ship
boats,boat
table,table
arise,arise
studying,study
climates,climate
comes,come
load,load
declaring,declare
observed,observed
written,write
communityand,communityand
attended,attend
surveys,survey
meetings,meeting
collaborations,collaboration
feedback,feedback
planningprocess,planningprocess
experts,expert
divisions,division
vet,vet
andevaluate,andevaluate
oversight,oversight
decisions,decision
integrate,integrate
andstrategies,andstrategie
achievement,achievement
leaders,leader
tosupport,tosupport
involve,involve
affects,affect
planwill,planwill
addressing,address
considerations,consideration
theimplementation,theimplementation
buildcapa,buildcapa
startof,startof
thousands,thousand
lying,lie
estimates,estimate
monitored,monitor
evaluated,evaluate
tracked,track
managers,manager
discussed,discuss
abnormal,abnormal
deepening,deepen
difference,difference
barometric,barometric
dome,dome
eye,eye
pushed,push
coastline,coastline
landfall,landfall
height,height
deviation,deviation
exceeded,exceed
moving,move
demonstrating,demonstrate
phenomenon,phenomenon
accompany,accompany
excerpt,excerpt
kilowatt,kilowatt
proportion,proportion
post,post
remediation,remediation
exceeding,exceed
idem,idem
screening,screening
railroad,railroad
hotspot,hotspot
nemac,nemac
shrub,shrub
prairie,prairie
perennials,perennial
sequester,sequester
dioxide,dioxide
gases,gas
legally,legally
feasible,feasible
easements,easement
vehicular,vehicular
circulation,circulation
rebuilt,rebuild
hired,hire
contractors,contractor
trust,trust
seed,seed
try,try
rode,ride
handed,hand
gift,gift
cards,card
thank,thank
prizes,prize
advertisingtimescale,advertisingtimescale
indigenous,indigenous
charitable,charitable
trusts,trust
rwjf,rwjf
notification,notification
register,register
prepares,prepare
extra,extra
computer,computer
aided,aid
software,software
automatically,automatically
reflected,reflect
spanish,spanish
landfilled,landfille
polystyrene,polystyrene
collaborated,collaborate
minds,mind
informs,inform
sells,sell
delivers,deliver
textiles,textile
carrying,carry
capacities,capacity
effectively,effectively
certification,certification
prerequisite,prerequisite
tiered,tiere
vary,vary
consumer,consumer
roll,roll
accompanied,accompany
presentations,presentation
mailed,mail
emailed,email
counted,count
kpis,kpis
estimation,estimation
refuse,refuse
haulers,hauler
vans,van
avenues,avenue
augmented,augment
trusted,trust
teams,team
cohesion,cohesion
focal,focal
revitalization,revitalization
neighbors,neighbor
faith,faith
camps,camp
afterschool,afterschool
teen,teen
preschool,preschool
snacks,snack
channels,channel
manifested,manifest
directly,directly
harm,harm
mild,mild
chronically,chronically
ill,ill
diagnosed,diagnose
obese,obese
disability,disability
intensifies,intensify
photochemical,photochemical
reactions,reaction
adults,adult
pollen,pollen
allergies,allergy
islands,island
ambient,ambient
violent,violent
shown,show
room,room
visits,visit
habitats,habitat
evolved,evolve
extremes,extreme
serpentine,serpentine
ephemeral,ephemeral
redwood,redwood
composition,composition
invasive,invasive
decreases,decrease
banks,bank
administered,administer
administrators,administrator
deals,deal
homeless,homeless
confidence,confidence
compiled,compile
amtrack,amtrack
soon,soon
possession,possession
accordingly,accordingly
characterization,characterization
benchmarks,benchmark
zoned,zone
allotment,allotment
gardening,gardening
horticulture,horticulture
evitable,evitable
legislated,legislate
goes,go
engaging,engage
believe,believe
earliest,early
stages,stage
contributed,contribute
virtual,virtual
complicated,complicate
rwf,rwf
undergoing,undergo
rehabilitate,rehabilitate
reliability,reliability
bubble,bubble
diffusers,diffuser
aeration,aeration
tanks,tank
pulsed,pulse
episodic,episodic
liquor,liquor
demands,demand
cogeneration,cogeneration
engine,engine
objective,objective
preserving,preserve
maximizing,maximize
adaptability,adaptability
biogas,biogas
competitive,competitive
tank,tank
rehabilitation,rehabilitation
blower,blower
secondary,secondary
ring,ring
buss,buss
isolate,isolate
interruption,interruption
evolving,evolve
sufficiency,sufficiency
exporting,export
thickener,thickener
digesters,digester
stabilization,stabilization
sustainably,sustainably
meters,meter
repairing,repair
floodplains,floodplain
restoring,restore
solidifies,solidify
difficulty,difficulty
clearing,clear
walkways,walkway
expect,expect
worse,bad
economical,economical
devoted,devote
relief,relief
finding,find
redundant,redundant
parts,part
efficiently,efficiently
abatement,abatement
bank,bank
entity,entity
discussing,discuss
nursing,nursing
elder,eld
tragedy,tragedy
described,describe
occasions,occasion
particular,particular
tragically,tragically
trapped,trap
drowned,drown
basement,basement
sandy,sandy
removed,remove
elevated,elevate
equaled,equal
cemetery,cemetery
tributary,tributary
impounding,impound
clogged,clog
discharge,discharge
culvert,culvert
overtopping,overtop
basin,basin
rear,rear
blocks,block
twice,twice
applying,apply
channelization,channelization
baeder,baeder
vicinity,vicinity
wannamaker,wannamaker
drains,drain
watershed,watershed
baederwood,baederwood
isflooded,isfloode
subsequent,subsequent
channeling,channeling
acquired,acquire
reimburses,reimburse
turf,turf
piloting,pilot
advanced,advanced
metering,metering
topromote,topromote
proactive,proactive
continually,continually
golfcourses,golfcourse
leak,leak
detection,detection
freezing,freeze
sleet,sleet
singly,singly
falls,fall
coating,coating
ice,ice
conversely,conversely
raindrops,raindrop
pellets,pellet
motorists,motorist
accumulations,accumulation
fell,fall
occasionally,occasionally
overwhelms,overwhelm
unable,unable
salted,salt
plowed,plow
accidents,accident
structuring,structure
incentivizing,incentivize
personnel,personnel
consulting,consult
firm,firm
monsoon,monsoon
tracing,trace
roots,root
missionaries,missionary
discovered,discover
today,today
seventh,seventh
lifeline,lifeline
charming,charming
anchoring,anchoring
lively,lively
clubs,club
hotels,hotel
spas,spa
villages,village
museums,museum
battle,battle
mexican,mexican
defenders,defender
visited,visit
german,german
architecture,architecture
traditions,tradition
customs,custom
multicultural,multicultural
origins,origin
contrasts,contrast
embodies,embody
authentic,authentic
relative,relative
celebration,celebration
awards,award
ceremony,ceremony
goats,goat
chickens,chicken
bees,bee
diverting,divert
responsibly,responsibly
alterations,alteration
additions,addition
nonresidential,nonresidential
tier,tier
bacteria,bacteria
index,index
turbines,turbine
declines,decline
seen,see
remained,remain
biggest,big
contributor,contributor
calculation,calculation
espouses,espouse
pathways,pathway
degrees,degree
fahrenheit,fahrenheit
relates,relate
heavily,heavily
shocks,shock
coupled,couple
deliberations,deliberation
developer,developer
hiring,hire
employing,employ
graduates,graduate
sunpeak,sunpeak
trouble,trouble
incarcerated,incarcerate
hero,hero
story,story
plug,plug
electrify,electrify
conducting,conduct
ethanol,ethanol
biodiesel,biodiesel
dispenser,dispenser
capable,capable
flexible,flexible
test,test
b,b
unanimously,unanimously
aggressive,aggressive
unhoused,unhoused
campaigns,campaign
undertook,undertake
cursory,cursory
represented,represent
root,root
collaborates,collaborate
malaria,malaria
dengue,dengue
tick,tick
encephalitis,encephalitis
cutting,cut
workforce,workforce
forecasts,forecast
aligned,align
csr,csr
analyze,analyze
recognize,recognize
investors,investor
globally,globally
equitymore,equitymore
prosperity,prosperity
wellbeing,wellbeing
principles,principle
budgeting,budget
adequately,adequately
resourced,resource
uplift,uplift
unheard,unheard
convened,convene
servants,servant
nonprofit,nonprofit
professionals,professional
richmonders,richmonder
advised,advise
guided,guide
lens,lens
proportions,proportion
ethni,ethni
demonstration,demonstration
steering,steering
discuss,discuss
invited,invite
businesspeople,businesspeople
hosted,host
interactive,interactive
drawing,draw
coffee,coffee
ups,up
newsletter,newsletter
unrelated,unrelated
weighed,weigh
middle,middle
opposed,oppose
undergone,undergo
automation,automation
ran,run
scheduled,schedule
occupied,occupy
preparing,prepare
autonomous,autonomous
ahead,ahead
paced,pace
course,course
reorganizing,reorganize
childhood,childhood
multilingual,multilingual
disseminating,disseminate
harms,harm
granular,granular
repository,repository
helpful,helpful
devising,devise
tornadoes,tornado
visual,visual
observations,observation
eyewitnesses,eyewitness
inconsistent,inconsistent
indicate,indicate
brings,bring
progressive,progressive
preparations,preparation
subdivision,subdivision
redesign,redesign
simplified,simplify
congestion,congestion
arrive,arrive
minutes,minute
simple,simple
backbone,backbone
schedules,schedule
rush,rush
highways,highway
shoulder,shoulder
modal,modal
ridership,ridership
occupancy,occupancy
potentially,potentially
fold,fold
king,king
maps,map
sure,sure
evacuate,evacuate
looked,look
attributes,attribute
demographic,demographic
rcp,rcp
thermal,thermal
imaging,imaging
scenic,scenic
compromised,compromise
finds,find
falling,fall
downpours,downpour
winters,winter
wetter,wet
pollute,pollute
fertilizers,fertilizer
fields,field
crops,crop
midwest,midwest
killed,kill
catastrophicsignificant,catastrophicsignificant
impassable,impassable
apex,apex
biomass,biomass
stemming,stem
clay,clay
brick,brick
concrete,concrete
repaired,repair
elements,element
initially,initially
sponsored,sponsor
ipating,ipate
motivating,motivate
comprising,comprise
engineers,engineer
limit,limit
wildland,wildland
wui,wui
themes,theme
dependence,dependence
truck,truck
legacy,legacy
preliminary,preliminary
delivered,deliver
sponsorship,sponsorship
regards,regard
fixtures,fixture
avoid,avoid
glare,glare
spill,spill
cdfi,cdfi
nonprofits,nonprofit
option,option
background,background
summarize,summarize
survey,survey
principals,principal
sessions,session
enriching,enrich
shape,shape
encompasses,encompass
silver,silver
certifications,certification
renovations,renovation
emphasize,emphasize
commitments,commitment
pledged,pledge
abide,abide
contingency,contingency
dates,date
urgency,urgency
enjoys,enjoy
pickup,pickup
modernizing,modernize
bagless,bagless
broaden,broaden
content,content
country,country
wet,wet
indoor,indoor
devices,device
saved,save
stewardship,stewardship
sum,sum
insufficient,insufficient
invoiced,invoice
shelters,shelter
daily,daily
called,call
ask,ask
brought,bring
hosts,host
tasked,task
execute,execute
testing,test
vaccination,vaccination
programmes,programme
adaptive,adaptive
climatologists,climatologist
adapting,adapt
elected,elect
exceed,exceed
bounds,bound
expressed,express
climatologist,climatologist
individualized,individualized
eradication,eradication
adaption,adaption
overview,overview
stressors,stressor
educational,educational
irrigate,irrigate
boulder,boulder
leased,lease
cooler,cool
trigger,trigger
srcs,srcs
maintains,maintain
sales,sale
lock,lock
aquatic,aquatic
disposables,disposable
rounded,rounded
retail,retail
transformative,transformative
burdened,burden
tenure,tenure
straight,straight
retroactively,retroactively
refrigerants,refrigerant
sample,sample
permitted,permit
inner,inner
suburbs,suburb
rides,ride
travelled,travel
breakfast,breakfast
check,check
maybe,maybe
yearfurther,yearfurther
carpool,carpool
garage,garage
swede,swede
alley,alley
administrative,administrative
routine,routine
includedtimescale,includedtimescale
unavailable,unavailable
voter,voter
levied,levy
consume,consume
generates,generate
reliance,reliance
periodically,periodically
ballot,ballot
switch,switch
offices,office
donation,donation
fewer,few
proportionally,proportionally
uphold,uphold
conveyance,conveyance
moklumne,moklumne
molumne,molumne
aquaduct,aquaduct
pipeline,pipeline
contemplating,contemplate
stand,stand
immunizations,immunization
enjoy,enjoy
insect,insect
infestation,infestation
piloted,pilot
technoloigies,technoloigie
exisitng,exisitng
spun,spin
understanding,understand
beattractive,beattractive
heatemergencies,heatemergencie
combining,combine
similar,similar
downsizing,downsize
turned,turn
megawatt,megawatt
field,field
aes,ae
broke,break
metered,meter
tones,tone
actually,actually
greywater,greywater
forthcoming,forthcoming
slope,slope
started,start
completely,completely
revamp,revamp
shortfalls,shortfall
diversify,diversify
methane,methane
powering,power
captured,capture
expenditure,expenditure
o‘ahu,o‘ahu
pocket,pocket
evs,evs
stored,store
shuttle,shuttle
fleets,fleet
accelerate,accelerate
affordability,affordability
searching,search
conveniently,conveniently
affordably,affordably
tailpipe,tailpipe
broader,broad
pricing,pricing
begins,begin
true,true
taxpayers,taxpayer
stem,stem
scene,scene
topped,top
basilica,basilica
vast,vast
displaying,display
artwork,artwork
masters,master
filled,fill
factory,factory
temp,temp
info,info
breweries,brewery
toolkit,toolkit
oceanic,oceanic
interns,intern
pursuing,pursue
incineration,incineration
shading,shade
externally,externally
collections,collection
totaling,total
attain,attain
filings,filing
hail,hail
chair,chair
erratic,erratic
peoples,people
servicesstrategy,servicesstrategy
seaimplement,seaimplement
plansecure,plansecure
heaviest,heavy
separation,separation
catalyze,catalyze
•currently,•currently
floor,floor
director,director
identifies,identify
adhering,adhere
•the,•the
petal,petal
combustion,combustion
toilet,toilet
flushing,flush
stories,story
leader,leader
proposing,propose
prohibit,prohibit
cooking,cook
watersense,watersense
concerned,concern
kicking,kick
enrollment,enrollment
fed,feed
judge,judge
divide,divide
recognition,recognition
operators,operator
window,window
decal,decal
recognized,recognize
membership,membership
institutional,institutional
occasional,occasional
spells,spell
polar,polar
vortex,vortex
closed,close
chill,chill
virtually,virtually
halt,halt
spell,spell
lasted,last
deep,deep
puts,put
stressful,stressful
degradation,degradation
overtime,overtime
breaks,break
buckling,buckling
normal,normal
costly,costly
contaminated,contaminate
negative,negative
kwh,kwh
proportional,proportional
proper,proper
subtracted,subtract
bio,bio
investigating,investigate
nrel,nrel
release,release
presence,presence
blueprint,blueprint
exposures,exposure
culminating,culminating
forward,forward
undermine,undermine
nuisance,nuisance
threatens,threaten
undergrounding,undergrounde
bridges,bridge
providers,provider
anticipation,anticipation
inspiring,inspiring
plume,plume
accreditation,accreditation
airports,airport
demonstrate,demonstrate
bought,buy
torn,tear
greenway,greenway
buyouts,buyout
floodway,floodway
shares,share
buyout,buyout
andfederal,andfederal
metro,metro
pg,pg
subsidized,subsidize
wit,wit
incidences,incidence
mudslides,mudslide
substantive,substantive
respect,respect
enable,enable
eligibility,eligibility
lakes,lake
posted,post
tac,tac
news,news
risen,rise
f,f
ago,ago
sped,speed
scenario,scenario
reaches,reach
suggest,suggest
ratings,rating
wellhead,wellhead
fiscal,fiscal
positively,positively
gathered,gather
proposes,propose
opt,opt
rare,rare
operates,operate
trolleys,trolley
unemployment,unemployment
dcseu,dcseu
reauthorized,reauthorize
leveraging,leverage
custom,custom
advice,advice
controls,control
variable,variable
drives,drive
clothes,clothe
washers,washer
dryers,dryer
dehumidifiers,dehumidifier
dishwashers,dishwasher
refrigerators,refrigerator
retailers,retailer
validate,validate
mandates,mandate
submit,submit
tune,tune
follow,follow
checklist,checklist
permit,permit
pvdfest,pvdfest
usual,usual
bonus,bonus
successfully,successfully
h,h
bill,bill
transaction,transaction
navigation,navigation
defenses,defense
constraints,constraint
donating,donate
husd,husd
advancing,advance
highlights,highlight
workplan,workplan
outline,outline
eliminating,eliminate
recognizes,recognize
bans,ban
styrofoam,styrofoam
funders,funder
satisfies,satisfy
greenest,green
efficiencies,efficiency
livability,livability
transform,transform
fostering,foster
generating,generate
attributed,attribute
metropolitan,metropolitan
centralized,centralize
formulation,formulation
hallway,hallway
comprises,comprise
marine,marine
expanding,expand
explicit,explicit
weeding,weed
mulching,mulch
removing,remove
bpda,bpda
influence,influence
prosper,prosper
overlay,overlay
t,t
commuter,commuter
summary,summary
scaled,scale
differentiate,differentiate
replacing,replace
posing,pose
livelihood,livelihood
longevity,longevity
impede,impede
injury,injury
linked,link
autumn,autumn
wholly,wholly
absorption,absorption
hold,hold
wash,wash
edge,edge
recur,recur
regrows,regrow
triggered,trigger
suggests,suggest
lived,live
millions,million
declared,declare
surcharges,surcharge
penalty,penalty
went,go
lifted,lift
caution,caution
regard,regard
mcbaine,mcbaine
bottoms,bottom
selecting,select
collector,collector
wells,well
mdnr,mdnr
classified,classify
compliant,compliant
calgreen,calgreen
dispatch,dispatch
scout,scout
loaders,loader
loader,loader
typical,typical
composted,compost
restaurant,restaurant
disposes,dispose
cafeterias,cafeteria
generate,generate
leachate,leachate
liquid,liquid
decomposing,decompose
acceptable,acceptable
foodservice,foodservice
emptied,empty
empties,empty
customized,customized
automated,automate
thanks,thank
conscientious,conscientious
introducing,introduce
scraps,scrap
pails,pail
counter,counter
bin,bin
diverted,divert
standalone,standalone
civic,civic
entirely,entirely
mosquitoes,mosquito
vectors,vector
fixing,fix
plantings,planting
consistently,consistently
hottest,hot
sized,sized
enterprises,enterprise
smes,sme
learning,learning
publicize,publicize
literacy,literacy
bolsters,bolster
transformational,transformational
zevs,zev
andincorporate,andincorporate
community‐wide,community‐wide
timetables,timetable
annualized,annualize
calculate,calculate
discourage,discourage
killer,killer
ac,ac
outisde,outisde
deemed,deem
remarkable,remarkable
accomplished,accomplish
procured,procure
motorcycles,motorcycle
monitors,monitor
evaluates,evaluate
driver,driver
scorecards,scorecard
reviews,review
rigorous,rigorous
proven,prove
sedans,sedan
exemplify,exemplify
deliberate,deliberate
win,win
wins,win
enables,enable
oaklanders,oaklander
reap,reap
contributes,contribute
heavier,heavy
frequently,frequently
officer,officer
smarter,smarter
adaptable,adaptable
ensuing,ensue
buzzing,buzzing
defining,define
characteristics,characteristic
mean,mean
plenty,plenty
positions,position
expansions,expansion
vegetative,vegetative
interconnected,interconnected
greenspaces,greenspace
vacant,vacant
bodies,body
declarations,declaration
totals,total
indicates,indicate
shuttling,shuttling
founded,found
populous,populous
institution,institution
clinics,clinic
boasts,boast
heritage,heritage
named,name
literature,literature
licensing,licensing
entirety,entirety
chagne,chagne
door,door
interview,interview
dozen,dozen
reverse,reverse
racism,racism
generational,generational
inequities,inequity
harshly,harshly
feeling,feel
responders,responder
disorders,disorder
medicines,medicine
lung,lung
language,language
english,english
exciting,exciting
facilitate,facilitate
rooftops,rooftop
reflective,reflective
surfaceto,surfaceto
hascoated,hascoate
roofs,roof
trainees,trainee
alsolaunched,alsolaunche
neededpolicies,neededpolicie
profound,profound
yorkers,yorker
contribution,contribution
instances,instance
convening,convene
billing,billing
mph,mph
windstorms,windstorm
notably,notably
east,east
forcing,force
dries,dry
heats,heat
descends,descend
plateau,plateau
telecommunication,telecommunication
brush,brush
hillsides,hillside
fallen,fall
occurrences,occurrence
windstorm,windstorm
grand,grand
rapids,rapid
afolu,afolu
uniform,uniform
systematic,systematic
rapidly,rapidly
trajectory,trajectory
implements,implement
enduring,endure
cbei,cbei
worsening,worsen
chubbs,chubb
propensity,propensity
inundated,inundate
find,find
ideas,idea
invite,invite
advancements,advancement
proposals,proposal
laid,lay
bold,bold
termination,termination
drastically,drastically
emerged,emerge
interim,interim
notation,notation
keys,key
restoration,restoration
familiarity,familiarity
calculating,calculate
exacerbations,exacerbation
conducts,conduct
builds,build
libraries,library
phased,phase
previously,previously
audited,audit
explained,explain
detail,detail
retirement,retirement
emittinggeneration,emittinggeneration
becarbon,becarbon
commits,commit
technologicaldevelopments,technologicaldevelopment
andindependence,andindependence
ofconcern,ofconcern
humidity,humidity
threaten,threaten
btu,btu
hydro,hydro
microgrids,microgrid
disruptive,disruptive
count,count
parcels,parcel
hazus,hazus
displaced,displace
escrow,escrow
quantifies,quantify
incorporates,incorporate
comparison,comparison
existed,exist
reflects,reflect
act,act
sharp,sharp
compel,compel
caps,cap
deeper,deep
boilers,boiler
heaters,heater
windows,window
envelopes,envelope
timeframe,timeframe
penalties,penalty
performing,perform
refinancing,refinancing
cycles,cycle
gasses,gas
plumbers,plumber
carpenters,carpenter
electricians,electrician
architects,architect
specialists,specialist
trained,train
corps,corp
skilled,skilled
trades,trade
careers,career
legislation,legislation
interest,interest
loans,loan
lenders,lender
tying,tie
taxes,taxis
arrays,array
combinations,combination
qualified,qualified
distributors,distributor
xeric,xeric
mobile,mobile
heater,heater
transformation,transformation
soft,soft
enrolled,enrol
alternate,alternate
fera,fera
subscribed,subscribe
waitlist,waitlist
opened,open
winner,winner
induction,induction
checkout,checkout
cooktop,cooktop
cooktops,cooktop
nitrogen,nitrogen
monoxide,monoxide
rationale,rationale
conjunction,conjunction
felt,feel
bluff,bluff
matrix,matrix
voice,voice
colleges,college
meadow,meadow
problematic,problematic
consecutive,consecutive
revenue,revenue
shortfall,shortfall
prevents,prevent
ship,ship
jet,jet
grave,grave
huge,huge
crude,crude
spilled,spill
dike,dike
defensive,defensive
revetment,revetment
modelled,model
stalled,stall
wiping,wipe
impair,impair
runway,runway
strength,strength
relocating,relocate
landfilling,landfille
cubic,cubic
yards,yard
asphalt,asphalt
taxiway,taxiway
wait,wait
abundant,abundant
educated,educate
export,export
enabled,enable
flourish,flourish
realized,realize
color,color
white,white
ranks,rank
persistent,persistent
epicenter,epicenter
happening,happen
paying,pay
earn,earn
counterparts,counterpart
dsa,dsa
original,original
mayoral,mayoral
idea,idea
reached,reach
stayed,stay
sun,sun
statement,statement
said,say
troubling,troubling
widely,widely
oversaw,oversee
certificate,certificate
healthier,healthy
officially,officially
governed,govern
settlement,settlement
agreed,agree
affiliate,affiliate
execution,execution
kw,kw
charger,charger
clusters,cluster
snwa,snwa
percentchance,percentchance
mutli,mutli
users,user
flashy,flashy
watersheds,watershed
riverine,riverine
assumes,assume
beverage,beverage
manufacturers,manufacturer
packaging,packaging
recyclable,recyclable
overwhelmed,overwhelm
constant,constant
growers,grower
sludge,sludge
recapture,recapture
commissions,commission
committees,committee
appointed,appoint
guides,guide
variables,variable
impacting,impact
deserve,deserve
unleaded,unleaded
autogas,autogas
propane,propane
cfat,cfat
conversions,conversion
expressing,express
brownouts,brownout
pm,pm
normally,normally
snows,snow
havefallen,havefallen
annualaverage,annualaverage
blizzard,blizzard
anaverage,anaverage
watch,watch
warnings,warning
concerning,concern
phenomena,phenomenon
fiveyear,fiveyear
statements,statement
annualprobability,annualprobability
uhie,uhie
absorbing,absorb
paved,paved
landscaped,landscaped
advocacy,advocacy
plain,plain
plains,plain
absorb,absorb
lessening,lessen
photovoltaic,photovoltaic
interventions,intervention
duplicated,duplicate
pilots,pilot
urbanization,urbanization
socially,socially
percentile,percentile
census,census
tracts,tract
calenviroscreen,calenviroscreen
opr,opr
oag,oag
childcare,childcare
exposed,expose
insignificant,insignificant
distributes,distribute
drafted,draft
aid,aid
seeing,see
activates,activate
rooms,room
attach,attach
categories,category
hoped,hope
conservationshutdown,conservationshutdown
computers,computer
usemake,usemake
leaving,leave
fluorescent,fluorescent
motion,motion
controlsgood,controlsgood
practiceshvac,practiceshvac
employ,employ
documentation,documentation
compare,compare
wasting,waste
lingual,lingual
easternmost,easternmost
bordered,border
towns,town
border,border
ditches,ditch
hydrological,hydrological
gwynns,gwynn
branch,branch
sudden,sudden
underemployment,underemployment
inspired,inspire
hopefully,hopefully
cca,cca
fiscally,fiscally
satisfy,satisfy
exception,exception
reviewing,review
bids,bid
correlation,correlation
upwards,upwards
powerpoint,powerpoint
music,music
subscriptions,subscription
sold,sell
deductible,deductible
angel,angel
overseen,oversee
auction,auction
allowances,allowance
inception,inception
parkway,parkway
overlook,overlook
outage,outage
experimenting,experiment
fear,fear
adopters,adopter
court,court
indian,indian
implementingnew,implementingnew
arena,arena
sustainablepractices,sustainablepractice
andtransportation,andtransportation
moved,move
displaces,displace
prohibitive,prohibitive
humid,humid
continental,continental
hardiness,hardiness
fortunate,fortunate
flat,flat
ideal,ideal
traveling,travel
banking,banking
logistics,logistic
hospitality,hospitality
labor,labor
enrolls,enroll
teeming,teem
nightlife,nightlife
victorian,victorian
olde,olde
ornate,ornate
cottages,cottage
modern,modern
bustling,bustling
authorities,authority
inputs,input
franchised,franchised
submits,submit
representatives,representative
meaningfully,meaningfully
independently,independently
biogenic,biogenic
lifestyle,lifestyle
habits,habit
indulge,indulge
megawatts,megawatt
beds,bed
benefiting,benefit
variability,variability
thoughtful,thoughtful
withstand,withstand
summarizes,summarize
hydroelectric,hydroelectric
driest,dry
facilitiesdata,facilitiesdata
foot,foot
gray,gray
awaiting,await
complex,complex
possibilities,possibility
irish,irish
channel,channel
southward,southward
actionable,actionable
critically,critically
outbreaks,outbreak
killing,kill
insects,insect
emerald,emerald
ash,ash
borer,borer
detected,detect
annexed,annex
multitude,multitude
regions,region
carmel,carmel
significance,significance
closest,close
aspirational,aspirational
confirmed,confirm
holding,hold
celsius,celsius
confirm,confirm
quickly,quickly
dashboard,dashboard
tickets,ticket
memorial,memorial
stadium,stadium
porch,porch
burdens,burden
coded,code
excluded,exclude
conforms,conform
greener,green
reinvest,reinvest
earnings,earning
begin,begin
liquefaction,liquefaction
legislature,legislature
freshwater,freshwater
oceans,ocean
authorization,authorization
publish,publish
maritime,maritime
maqip,maqip
berths,berth
filters,filter
shorepower,shorepower
levees,levee
baylands,bayland
memorandum,memorandum
preparefor,preparefor
cloudbursts,cloudburst
swap,swap
prioritizingresponse,prioritizingresponse
theinstallation,theinstallation
bioswales,bioswale
schoolyards,schoolyard
publichousing,publichouse
inch,inch
impervious,impervious
milestone,milestone
todecrease,todecrease
attenuation,attenuation
walkway,walkway
lasting,last
amenity,amenity
identity,identity
linear,linear
inviting,inviting
continuous,continuous
promenade,promenade
complementary,complementary
landmarks,landmark
showcasing,showcase
ecology,ecology
timesb,timesb
unobstructed,unobstructed
waterc,waterc
abutting,abut
thoroughfares,thoroughfare
midblock,midblock
guideline,guideline
encouraged,encourage
bayfront,bayfront
baywalk,baywalk
riverfront,riverfront
ridge,ridge
tdd,tdd
proofing,proofing
elevating,elevate
demolishing,demolish
untenable,untenable
rescues,rescue
confirms,confirm
predictions,prediction
car,car
journeys,journeys
retain,retain
anchored,anchor
incentivized,incentivize
talented,talented
personalized,personalized
stimulates,stimulate
multiplier,multipli
spurs,spur
attracts,attract
teamed,team
analyses,analysis
brownfield,brownfield
shipped,ship
rsap,rsap
motor,motor
lucid,lucid
troubleshoot,troubleshoot
bachelors,bachelor
enhances,enhance
lifestyles,lifestyle
impediments,impediment
rexius,rexius
producing,produce
love,love
branded,branded
suggestions,suggestion
furniture,furniture
stop,stop
sweeping,sweeping
wildely,wildely
crosswalks,crosswalk
signal,signal
curb,curb
ramps,ramp
creekside,creekside
walks,walk
greenways,greenway
facilitates,facilitate
connects,connect
obstacles,obstacle
bikeway,bikeway
