cluster,child_topic,top_terms,modele
47,5,"['renewable energy', 'energy generation', 'community choice', 'renewable energy generation', 'energy source', 'renewable energy source', 'use renewable', 'energy goal', 'use renewable energy', 'site renewable', 'renewable portfolio', 'energy procurement', 'portfolio standard', 'energy target', 'renewable portfolio standard']",blend_model
50,39,"['treatment plant', 'wastewater treatment', 'water treatment', 'water treatment plant', 'wastewater treatment plant', 'treatment facility', 'waste water', 'waste water treatment', 'plant upgrade', 'anaerobic digester', 'wastewater treatment facility', 'water wastewater', 'water wastewater treatment', 'treatment plant upgrade', 'water treatment facility']",blend_model
50,61,"['water quality', 'improve water', 'improve water quality', 'specify water', 'water quality issue', 'quality issue', 'quality water', 'source water', 'decline water', 'decline water quality', 'air water', 'water supply', 'air water quality', 'specify water quality', 'green infrastructure']",blend_model
52,71,"['electric bus', 'bus fleet', 'purchase electric bus', 'purchase electric', 'fully electric bus', 'fully electric', 'transit system', 'bus come', 'electric bus come', 'battery electric', 'procurement electric bus', 'procurement electric', 'bus transit', 'electric bus fleet', 'grant purchase']",blend_model
52,13,"['electric vehicle', 'vehicle charge', 'electric vehicle charge', 'charge infrastructure', 'charge station', 'vehicle charge infrastructure', 'vehicle infrastructure', 'electric vehicle infrastructure', 'electric vehicle adoption', 'vehicle adoption', 'vehicle charge station', 'vehicle fleet', 'encourage electric', 'electric car', 'fleet electric']",blend_model
54,65,"['orient development', 'transit orient', 'transit orient development', 'walkable place', 'orient development zoning', 'development zoning', 'high density', 'walkable place transit', 'place transit', 'place transit orient', 'orient development policy', 'transit corridor', 'prioritize transit', 'land use', 'development policy']",blend_model
54,36,"['open space', 'defensible space', 'park open', 'park open space', 'designate open space', 'designate open', 'legally designate', 'legally designate open', 'specify open', 'square mile', 'carbon sequestration', 'pasture open space', 'pasture open', 'natural open space', 'natural open']",blend_model
55,47,"['stormwater management', 'stormwater management plan', 'management plan', 'management program', 'stormwater management program', 'stormwater management system', 'management system', 'improve stormwater', 'stormwater management flood', 'management flood control', 'management flood', 'scale stormwater', 'comprehensive stormwater management', 'comprehensive stormwater', 'improve stormwater management']",blend_model
55,54,"['resilience plan', 'climate action resilience', 'action resilience', 'action resilience plan', 'climate resilience', 'climate action', 'climate resilience plan', 'change resilience plan', 'change resilience', 'climate change resilience', 'community resilience plan', 'community resilience', 'resilience plan master', 'plan master', 'plan master plan']",blend_model
56,7,"['climate change', 'impact climate', 'impact climate change', 'climate change adaptation', 'change adaptation', 'adapt climate', 'adapt climate change', 'address climate change', 'address climate', 'change mitigation', 'climate change mitigation', 'mitigation adaptation', 'combat climate change', 'combat climate', 'climate change priority']",blend_model
56,12,"['vulnerability assessment', 'climate vulnerability', 'climate vulnerability assessment', 'climate hazard', 'risk vulnerability assessment', 'risk vulnerability', 'wide vulnerability', 'adaptation plan', 'wide vulnerability assessment', 'build environment', 'hazard vulnerability assessment', 'assessment adaptation', 'assessment conduct', 'hazard vulnerability', 'assessment adaptation plan']",blend_model
58,27,"['extreme heat', 'heat wave', 'heat day', 'heat event', 'extreme heat day', 'extreme heat event', 'health impact', 'vulnerable population', 'air conditioning', 'public health', 'impact extreme', 'cool center', 'impact extreme heat', 'high heat', 'climate change']",blend_model
58,40,"['low income', 'income resident', 'income household', 'low income household', 'income population', 'low income resident', 'low income population', 'income community', 'low income community', 'high cost', 'cost living', 'low income neighborhood', 'income neighborhood', 'community color', 'energy efficiency']",blend_model
64,19,"['commercial building', 'include commercial', 'building facility', 'include commercial building', 'commercial building facility', 'building benchmarking', 'institutional building', 'integrate commercial building', 'industrial building', 'integrate commercial', 'apply sub sector', 'apply sub', 'sub sector', 'institutional building facility', 'residential commercial building']",blend_model
64,60,"['residential commercial', 'building code', 'commercial industrial', 'green building', 'square foot', 'residential commercial industrial', 'residential building', 'reach code', 'cool roof', 'municipal building', 'green building ordinance', 'building ordinance', 'new construction', 'building stock', 'residential commercial property']",blend_model
71,21,"['emission reduction', 'reduction target', 'ghg emission', 'ghg emission reduction', 'reduction goal', 'emission reduction target', 'emission reduction goal', 'reduction strategy', 'reduction level', 'estimate emission reduction', 'carbon emission reduction', 'estimate emission', 'year emission', 'reduction year', 'goal set']",blend_model
71,16,"['emission inventory', 'gas inventory', 'greenhouse gas inventory', 'ghg emission inventory', 'greenhouse gas', 'ghg emission', 'data collect', 'inventory complete', 'datum accuracy', 'staff time', 'wide greenhouse gas', 'wide greenhouse', 'data available', 'inventory update', 'calculate emission']",blend_model
